,label,count,label_clean
962,Peptide binding site,15782,peptide binding site
963,putative NEF/HSP70 interaction site,15734,nef/hsp70 interaction site
964,putative N-terminal domain interface,15714,n terminal domain interface
965,Rab family motif 2 (RabF2),15584,rab family motif 2 (rabf2)
966,proposed active site lysine,15482,proposed active site lysine
967,Substrate-binding site,15397,substrate binding site
968,primase nucleotide-binding site,15323,primase nucleotide binding site
969,ligand binding surface,15302,ligand binding surface
970,feedback inhibition sensing region,15141,feedback inhibition sensing region
971,proposed catalytic triad,15138,proposed catalytic triad
972,periplasmic entrance,14965,periplasmic entrance
973,substrate-binding site,14955,substrate binding site
974,beta-sandwich domain interface,14939,beta sandwich domain interface
975,METAL: Iron (heme C 1 axial ligand); via tele nitrogen.,14932,metal: iron (heme c 1 axial ligand); via tele nitrogen
976,ligand binding cavity,14849,ligand binding cavity
977,substrate-binding tunnel,14818,substrate binding tunnel
978,Sugar specificity,14815,sugar specificity
979,tetrameric interface,14771,tetrameric interface
980,SdhD (CybS) interface,14748,sdhd (cybs) interface
981,switch loop,14746,switch loop
982,DsbD alpha interface,14667,dsbd alpha interface
983,intrachain domain interface,14667,intrachain domain interface
984,Rab subfamily motif 3 (RabSF3),14628,rab subfamily motif 3 (rabsf3)
985,Rab family motif 1 (RabF1),14497,rab family motif 1 (rabf1)
986,protein-splicing catalytic site,14494,protein splicing catalytic site
987,METAL: Iron (heme C 2 axial ligand); via tele nitrogen.,14343,metal: iron (heme c 2 axial ligand); via tele nitrogen
988,METAL: Iron-sulfur 4 (4Fe-4S).,14327,metal: iron sulfur 4 (4fe 4s)
989,MOD_RES: ADP-ribosylarginine; by dinitrogenase reductase ADP-ribosyltransferase.,14018,mod_res: adp ribosylarginine; by dinitrogenase reductase adp ribosyltransferase
990,Binds Zn(II) ion,13891,binds zn(ii) ion
991,ACT_SITE: 4-aspartylphosphate intermediate.,13870,act_site: 4 aspartylphosphate intermediate
992,NAD+ binding site,13757,nad+ binding site
993,Rab subfamily motif 2 (RabSF2),13733,rab subfamily motif 2 (rabsf2)
994,interchain domain interface,13670,interchain domain interface
995,GDI interaction site,13641,gdi interaction site
996,putative Domain 2 interface,13599,domain 2 interface
997,nucleophilic elbow,13561,nucleophilic elbow
998,REGION: Phosphate binding.,13504,region: phosphate binding
999,BINDING: Phosphate.,13502,binding: phosphate
1000,R2 peptide binding site,13472,r2 peptide binding site
1001,REGION: L-glutamine binding.,13402,region: l glutamine binding
1002,BINDING: L-glutamine.,13401,binding: l glutamine
1003,PA/protease or protease-like domain interface,13393,pa/protease or protease like domain interface
1004,activates water (indirectly),13383,activates water (indirectly)
1005,active pocket/dimerization site,13349,active pocket/dimerization site
1006,thioester region,13348,thioester region
1007,polymerase nucleotide-binding site,13297,polymerase nucleotide binding site
1008,BINDING: Substrate 2.,13284,binding: substrate 2
1009,BINDING: Substrate 1.,13284,binding: substrate 1
1010,putative tRNA binding site,13140,trna binding site
1011,putative ADP binding site,13050,adp binding site
1012,tRNA,12964,trna
1013,HslU subunit interaction site,12907,hslu subunit interaction site
1014,putative Domain 3 interface,12873,domain 3 interface
1015,basic sphincter,12807,basic sphincter
1016,SITE: Important for enzyme activity.,12763,site: important for enzyme activity
1017,METAL: Iron (heme C 2 axial ligand).,12749,metal: iron (heme c 2 axial ligand)
1018,METAL: Iron (heme C 1 axial ligand).,12749,metal: iron (heme c 1 axial ligand)
1019,putative ribose interaction site,12716,ribose interaction site
1020,putative Domain 1 interface,12673,domain 1 interface
1021,"BINDING: Phosphatidylinositol 4,5-bisphosphate.",12533,"binding: phosphatidylinositol 4,5 bisphosphate"
1022,DNA-binding residues,12513,dna binding residues
1023,active site 1,12407,active site 1
1024,homooctamer interface,12388,homooctamer interface
1025,putative RNA binding cleft,12381,rna binding cleft
1026,BINDING: Substrate; via tele nitrogen.,12220,binding: substrate; via tele nitrogen
1027,nucleophile: forms covalent intermediate,12187,nucleophile: forms covalent intermediate
1028,interacts with substrate/intermediate,12187,interacts with substrate/intermediate
1029,METAL: Zinc 2; via pros nitrogen; catalytic.,12073,metal: zinc 2; via pros nitrogen; catalytic
1030,xylulose binding site,12067,xylulose binding site
1031,Ap4A binding site,12064,ap4a binding site
1032,Radical stabilisation,12010,radical stabilisation
1033,putative hexamer interface,11989,hexamer interface
1034,D-X-S-D-E motif,11966,d x s d e motif
1035,acetate binding site,11966,acetate binding site
1036,putative triphosphate binding site,11853,triphosphate binding site
1037,calcium-binding site,11836,calcium binding site
1038,heme bL binding site,11823,heme bl binding site
1039,Subunit III/Vb interface,11819,subunit iii/vb interface
1040,HsdM interface,11797,hsdm interface
1041,SITE: Plays an important role in maintaining the position of the catalytic nucleophile.,11784,site: plays an important role in maintaining the position of the catalytic nucleophile
1042,acceptor-phosphate pocket,11771,acceptor phosphate pocket
1043,active site cysteine,11761,active site cysteine
1044,putative ligand binding pocket/active site,11747,ligand binding pocket/active site
1045,polyP binding site,11706,polyp binding site
1046,putative hexagonal pore,11627,hexagonal pore
1047,AP (apurinic/apyrimidinic) site pocket,11577,ap (apurinic/apyrimidinic) site pocket
1048,probable active site,11465,probable active site
1049,PUA domain interface,11441,pua domain interface
1050,[4Fe-4S] binding site,11437,[4fe 4s] binding site
1051,putative Ile/Val binding site,11334,ile/val binding site
1052,Domain interface,11333,domain interface
1053,DNA-binding interface,11322,dna binding interface
1054,putative di-iron ligands,11237,di iron ligands
1055,MOD_RES: O-(phosphoribosyl dephospho-coenzyme A)serine.,11143,mod_res: o (phosphoribosyl dephospho coenzyme a)serine
1056,NP_BIND: NAD 1.,11143,np_bind: nad 1
1057,BINDING: Purine nucleoside.,10981,binding: purine nucleoside
1058,BINDING: Phosphate; via amide nitrogen.,10980,binding: phosphate; via amide nitrogen
1059,putative coenzyme Q binding site,10950,coenzyme q binding site
1060,surface patch,10927,surface patch
1061,nickel binding site,10872,nickel binding site
1062,SITE: Enhances dephosphorylation of CheY-P.,10861,site: enhances dephosphorylation of chey p
1063,"PLP binding, reaction nucleophile",10807,"plp binding, reaction nucleophile"
1064,PLP binding,10807,plp binding
1065,BINDING: D-ribose 5-phosphate.,10793,binding: d ribose 5 phosphate
1066,BINDING: D-ribose 5-phosphate; via amide nitrogen.,10793,binding: d ribose 5 phosphate; via amide nitrogen
1067,REGION: D-ribose 5-phosphate binding.,10793,region: d ribose 5 phosphate binding
1068,heptamer interface,10570,heptamer interface
1069,Putative water exit pathway,10526,water exit pathway
1070,Subunit III/VIb interface,10469,subunit iii/vib interface
1071,BINDING: Substrate; shared with homodimeric partner.,10421,binding: substrate; shared with homodimeric partner
1072,active site 2,10357,active site 2
1073,Domain 2 interface,10277,domain 2 interface
1074,Mn binding site,10222,mn binding site
1075,Active site tetrad,10200,active site tetrad
1076,Qi binding site,10189,qi binding site
1077,Putative proton exit pathway,10163,proton exit pathway
1078,METAL: Nickel-iron-sulfur (Ni-4Fe-4S); via tele nitrogen.,10125,metal: nickel iron sulfur (ni 4fe 4s); via tele nitrogen
1079,heterodimer interface 2,10085,heterodimer interface 2
1080,Subunit III/VIa interface,10059,subunit iii/via interface
1081,distal heme binding site,10039,distal heme binding site
1082,TDP-binding site,10024,tdp binding site
1083,MOD_RES: 4-aspartylphosphate.,9975,mod_res: 4 aspartylphosphate
1084,MOD_RES: Phosphohistidine.,9975,mod_res: phosphohistidine
1085,ACT_SITE: N6-GMP-lysine intermediate.,9945,act_site: n6 gmp lysine intermediate
1086,active site flap/lid,9938,active site flap/lid
1087,ferroxidase pore,9914,ferroxidase pore
1088,hydrophobic ligand binding site,9893,hydrophobic ligand binding site
1089,hydroxycobalamin binding site,9886,hydroxycobalamin binding site
1090,heterodimer interface 1,9771,heterodimer interface 1
1091,METAL: Iron 2; via pros nitrogen.,9766,metal: iron 2; via pros nitrogen
1092,METAL: Calcium 3.,9755,metal: calcium 3
1093,aspartate-rich active site metal binding site,9629,aspartate rich active site metal binding site
1094,dimerization domain,9617,dimerization domain
1095,GDP-Fucose binding site,9559,gdp fucose binding site
1096,multimerization interface,9536,multimerization interface
1097,heterotrimer interface,9532,heterotrimer interface
1098,alpha helical domain,9517,alpha helical domain
1099,pyrimidine nucleoside binding site,9455,pyrimidine nucleoside binding site
1100,HAD signature motif I,9383,had signature motif i
1101,predicted active site,9359,predicted active site
1102,central pore,9341,central pore
1103,Skp1 binding site,9319,skp1 binding site
1104,allosteric regulatory residue,9291,allosteric regulatory residue
1105,METAL: Magnesium; shared with all trimeric partners.,9231,metal: magnesium; shared with all trimeric partners
1106,coenzyme B12 binding site,9228,coenzyme b12 binding site
1107,putative FMN binding site,9191,fmn binding site
1108,Rab subfamily motif 1 (RabSF1),9177,rab subfamily motif 1 (rabsf1)
1109,dimer interfaces,9170,dimer interfaces
1110,Binds substrate,9147,binds substrate
1111,specificity defining residues,9138,specificity defining residues
1112,gate,9123,gate
1113,"Binds phosphate, increasing electrophilicity of phosphorous for nucleophilic attack",9107,"binds phosphate, increasing electrophilicity of phosphorous for nucleophilic attack"
1114,Hexamer/Pentamer interface,9099,hexamer/pentamer interface
1115,putative Cl binding site,9062,cl binding site
1116,hydrophobic gate,8995,hydrophobic gate
1117,putative CheA interaction surface,8994,chea interaction surface
1118,NTP  binding site,8945,ntp binding site
1119,METAL: Iron 1; via pros nitrogen.,8903,metal: iron 1; via pros nitrogen
1120,NAD(p) ribose binding residues,8884,nad(p) ribose binding residues
1121,heme bH binding site,8842,heme bh binding site
1122,"BINDING:  N-acyl-1,2-diacyl-sn-glycero-3-phosphoethanolamine.",8839,"binding: n acyl 1,2 diacyl sn glycero 3 phosphoethanolamine"
1123,Subunit III/VIIa interface,8813,subunit iii/viia interface
1124,cation binding site,8794,cation binding site
1125,SITE: Transition state stabilizer; via amide nitrogen.,8724,site: transition state stabilizer; via amide nitrogen
1126,primer binding site,8719,primer binding site
1127,Glutamate binding site,8706,glutamate binding site
1128,Ub thioester intermediate interaction residues,8601,ub thioester intermediate interaction residues
1129,METAL: Magnesium (bacteriochlorophyll axial ligand).,8578,metal: magnesium (bacteriochlorophyll axial ligand)
1130,aspartate binding site,8528,aspartate binding site
1131,glycogen binding site,8514,glycogen binding site
1132,probable substrate binding site,8443,probable substrate binding site
1133,beta-gamma subunit interface,8384,beta gamma subunit interface
1134,metal coordination site,8352,metal coordination site
1135,dimanganese center,8347,dimanganese center
1136,potential catalytic triad,8308,potential catalytic triad
1137,putative N- and C-terminal domain interface,8198,n and c terminal domain interface
1138,F-box motif,8193,f box motif
1139,central insert,8112,central insert
1140,Phe binding site,8102,phe binding site
1141,BINDING: Pyrroloquinoline quinone; via amide nitrogen.,8026,binding: pyrroloquinoline quinone; via amide nitrogen
1142,BINDING: 5-methoxybenzimidazolylcob(I)amide.,7936,binding: 5 methoxybenzimidazolylcob(i)amide
1143,REGION: 5-methoxybenzimidazolylcob(I)amide binding.,7930,region: 5 methoxybenzimidazolylcob(i)amide binding
1144,METAL: Iron; via tele nitrogen; catalytic.,7928,metal: iron; via tele nitrogen; catalytic
1145,putative proximal heme binding site,7926,proximal heme binding site
1146,putative deaminated base recognition pocket,7882,deaminated base recognition pocket
1147,alpha-beta subunit interface,7841,alpha beta subunit interface
1148,non-prolyl cis peptide bond,7818,non prolyl cis peptide bond
1149,SITE: Important for obstruction of the ion pore in the closed conformation.,7761,site: important for obstruction of the ion pore in the closed conformation
1150,K-pathway,7723,k pathway
1151,NADH binding,7701,nadh binding
1152,cationic pore residues,7701,cationic pore residues
1153,Rab subfamily motif 4 (RabSF4),7697,rab subfamily motif 4 (rabsf4)
1154,Domain 3 interface,7575,domain 3 interface
1155,allosteric magnesium binding site,7565,allosteric magnesium binding site
1156,protein interface,7553,protein interface
1157,putative TRX-like catalytic residues,7525,trx like catalytic residues
1158,PAAR motifs,7467,paar motifs
1159,putative ligand binding pocket,7434,ligand binding pocket
1160,Domain 1 interface,7433,domain 1 interface
1161,hybrid metal cluster,7387,hybrid metal cluster
1162,Cu2+ binding site,7359,cu2+ binding site
1163,S2 subsite,7296,s2 subsite
1164,NAD(P)-pyrophosphate-nicotinamide binding residues,7285,nad(p) pyrophosphate nicotinamide binding residues
1165,P-class dimer interface,7256,p class dimer interface
1166,alpha-gamma subunit interface,7236,alpha gamma subunit interface
1167,D-pathway,7219,d pathway
1168,BINDING: Substrate; shared with dimeric partner.,7195,binding: substrate; shared with dimeric partner
1169,putative ArsC-like catalytic residues,7033,arsc like catalytic residues
1170,zero layer,7021,zero layer
1171,BINDING: 5-methoxybenzimidazolylcob(I)amide; via amide nitrogen.,7002,binding: 5 methoxybenzimidazolylcob(i)amide; via amide nitrogen
1172,MOD_RES: N6-murein peptidoglycan lysine.,6989,mod_res: n6 murein peptidoglycan lysine
1173,substrate specificity loop,6967,substrate specificity loop
1174,FMN-binding pocket,6950,fmn binding pocket
1175,phosphagen binding site,6941,phosphagen binding site
1176,BINDING: Heme 6; covalent.,6921,binding: heme 6; covalent
1177,Phospholipid binding site,6919,phospholipid binding site
1178,METAL: Iron (heme 6 axial ligand).,6912,metal: iron (heme 6 axial ligand)
1179,Mg2+ ligand (via water),6910,mg2+ ligand (via water)
1180,flavin binding motif,6901,flavin binding motif
1181,gamma-beta subunit interface,6887,gamma beta subunit interface
1182,reactive center loop (RCL),6864,reactive center loop (rcl)
1183,METAL: Calcium 3; via carbonyl oxygen.,6810,metal: calcium 3; via carbonyl oxygen
1184,METAL: Iron (heme 8 axial ligand).,6762,metal: iron (heme 8 axial ligand)
1185,METAL: Iron-sulfur 1 (4Fe-4S); shared with dimeric partner.,6748,metal: iron sulfur 1 (4fe 4s); shared with dimeric partner
1186,REGION: Coenzyme A binding.,6745,region: coenzyme a binding
1187,redox center,6733,redox center
1188,METAL: Copper B; via pros nitrogen.,6728,metal: copper b; via pros nitrogen
1189,METAL: Iron (low-spin heme axial ligand); via tele nitrogen.,6728,metal: iron (low spin heme axial ligand); via tele nitrogen
1190,METAL: Copper B; via tele nitrogen.,6728,metal: copper b; via tele nitrogen
1191,METAL: Iron (high-spin heme axial ligand); via tele nitrogen.,6728,metal: iron (high spin heme axial ligand); via tele nitrogen
1192,putative BtuC binding residues,6673,btuc binding residues
1193,"SITE: The binding site for the sugar molecule has not yet been established, but C-87 may be involved.",6642,"site: the binding site for the sugar molecule has not yet been established, but c 87 may be involved"
1194,AB domain interface,6634,ab domain interface
1195,putative hydrophobic gate,6573,hydrophobic gate
1196,Binds substrate and possible involvement in hydrogen atom relay,6555,binds substrate and possible involvement in hydrogen atom relay
1197,Binds auxillary [FeS] cluster,6555,binds auxillary [fes] cluster
1198,"Acts as a cap to the active site, exclusing water",6555,"acts as a cap to the active site, exclusing water"
1199,Binds substrate FeS cluster,6555,binds substrate fes cluster
1200,cobalamin binding residues,6553,cobalamin binding residues
1201,pyridoxal binding site,6325,pyridoxal binding site
1202,putative alpha subunit interface,6291,alpha subunit interface
1203,putative protofilament interface,6234,protofilament interface
1204,18S rRNA binding site,6204,18s rrna binding site
1205,VirB7 interaction site,6163,virb7 interaction site
1206,Gluconate-6-phosphate binding site,6128,gluconate 6 phosphate binding site
1207,drug binding residues,6112,drug binding residues
1208,apolar tunnel,6106,apolar tunnel
1209,putative amphipathic alpha helix,6103,amphipathic alpha helix
1210,MOD_RES: S-(4-hydroxycinnamyl)cysteine.,6099,mod_res: s (4 hydroxycinnamyl)cysteine
1211,Forms anion binding pocket,6087,forms anion binding pocket
1212,conserved FAD binding motif,6045,conserved fad binding motif
1213,maleylacetoacetate (MAA) substrate binding site (H site),6035,maleylacetoacetate (maa) substrate binding site (h site)
1214,cubane metal cluster,5957,cubane metal cluster
1215,binds phosphate moiety of substrate,5939,binds phosphate moiety of substrate
1216,METAL: Iron (heme 7 axial ligand).,5921,metal: iron (heme 7 axial ligand)
1217,putative proximal quinone binding site,5917,proximal quinone binding site
1218,METAL: Magnesium 1; via carbonyl oxygen; catalytic.,5898,metal: magnesium 1; via carbonyl oxygen; catalytic
1219,Ap6A binding site,5877,ap6a binding site
1220,phosphoinositide binding site,5876,phosphoinositide binding site
1221,Binds [2Fe-2S] cluster,5864,binds [2fe 2s] cluster
1222,"Binds [2Fe-2S] cluster, Modifies RedOx potential",5864,"binds [2fe 2s] cluster, modifies redox potential"
1223,putative polypeptide substrate binding site,5844,polypeptide substrate binding site
1224,Moco binding site,5783,moco binding site
1225,Trp docking motif,5700,trp docking motif
1226,divalent metal binding site,5685,divalent metal binding site
1227,amphipathic channel,5655,amphipathic channel
1228,Asn-Pro-Ala signature motifs,5654,asn pro ala signature motifs
1229,acceptor substrate-binding pocket,5627,acceptor substrate binding pocket
1230,Subunit I/II interface,5623,subunit i/ii interface
1231,calcium binding site 1,5621,calcium binding site 1
1232,crRNA binding site,5587,crrna binding site
1233,ACT_SITE: Tele-AMP-histidine intermediate.,5426,act_site: tele amp histidine intermediate
1234,dinuclear metal binding site,5414,dinuclear metal binding site
1235,subunit II/IV interface,5403,subunit ii/iv interface
1236,subunit II/VIc interface,5402,subunit ii/vic interface
1237,REGION: Spermidine-binding.,5389,region: spermidine binding
1238,gating phenylalanine in ion channel,5388,gating phenylalanine in ion channel
1239,subunit I/II interface,5374,subunit i/ii interface
1240,putative H2TH interface,5370,h2th interface
1241,Dimer interface,5354,dimer interface
1242,interchain disulfide,5353,interchain disulfide
1243,substrate binding sites,5318,substrate binding sites
1244,G-X-G motif,5306,g x g motif
1245,calcium binding site 2,5290,calcium binding site 2
1246,BINDING: Heme 7; covalent.,5288,binding: heme 7; covalent
1247,Unknown,5269,unknown
1248,metal ligand,5243,metal ligand
1249,Active_site,5224,active_site
1250,non-heme iron binding site,5198,non heme iron binding site
1251,subunit II/VIb interface,5185,subunit ii/vib interface
1252,receptor-ligand interactions,5168,receptor ligand interactions
1253,AC domain interface,5129,ac domain interface
1254,starch binding site,5123,starch binding site
1255,purine base binding site,5019,purine base binding site
1256,METAL: Nickel 2; via pros nitrogen.,5004,metal: nickel 2; via pros nitrogen
1257,METAL: Nickel 2; via carbamate group.,5004,metal: nickel 2; via carbamate group
1258,METAL: Nickel 1; via carbamate group.,5004,metal: nickel 1; via carbamate group
1259,METAL: Nickel 2; via tele nitrogen.,5004,metal: nickel 2; via tele nitrogen
1260,METAL: Nickel 1.,5004,metal: nickel 1
1261,METAL: Nickel 1; via tele nitrogen.,5004,metal: nickel 1; via tele nitrogen
1262,calcium binding site,4970,calcium binding site
1263,flexible loop,4966,flexible loop
1264,METAL: Iron (heme B axial ligand).,4947,metal: iron (heme b axial ligand)
1265,LIPID: S-palmitoyl cysteine.,4944,lipid: s palmitoyl cysteine
1266,3' ssDNA interaction site,4910,3' ssdna interaction site
1267,BINDING: Heme 8; covalent.,4871,binding: heme 8; covalent
1268,P-type ATPase signature motif,4841,p type atpase signature motif
1269,putative SdhC subunit interface,4819,sdhc subunit interface
1270,specific DNA base contacts,4818,specific dna base contacts
1271,catalytic domain interface,4812,catalytic domain interface
1272,"forms hydrogen bonding network with general acid/base, increasing activity",4756,"forms hydrogen bonding network with general acid/base, increasing activity"
1273,redox-active Cys,4756,redox active cys
1274,general acid / general base,4756,general acid / general base
1275,toxin/antitoxin interface,4751,toxin/antitoxin interface
1276,putative Zn binding site,4726,zn binding site
1277,E3 interaction residues,4720,e3 interaction residues
1278,Electron transfer pathway,4714,electron transfer pathway
1279,E-class dimer interface,4700,e class dimer interface
1280,REGION: Acetyl-CoA binding.,4640,region: acetyl coa binding
1281,Subunit I/VIb interface,4618,subunit i/vib interface
1282,Subunit I/VIc interface,4618,subunit i/vic interface
1283,Binuclear center (heme a3/CuB),4603,binuclear center (heme a3/cub)
1284,ribose-1-phosphate binding site,4587,ribose 1 phosphate binding site
1285,Subunit I/VIIa interface,4556,subunit i/viia interface
1286,putative allosteric regulatory residue,4550,allosteric regulatory residue
1287,PCNA/FEN-1 protein interaction site,4544,pcna/fen 1 protein interaction site
1288,4Fe-4S cluster binding site,4541,4fe 4s cluster binding site
1289,Subunit I/VIa interface,4514,subunit i/via interface
1290,arginine patch,4513,arginine patch
1291,Cu binding site,4502,cu binding site
1292,YdjC motif,4500,ydjc motif
1293,PCNA/RFCL protein interaction site,4477,pcna/rfcl protein interaction site
1294,peptide ligand binding site,4452,peptide ligand binding site
1295,flexible flap,4443,flexible flap
1296,toxin interface,4441,toxin interface
1297,"2,4-decadienoyl-CoA binding site",4419,"2,4 decadienoyl coa binding site"
1298,malate binding site,4332,malate binding site
1299,putative active site cavity,4324,active site cavity
1300,putative tetramer (dimer of dimers) interface,4316,tetramer (dimer of dimers) interface
1301,Subunit I/VIIb interface,4313,subunit i/viib interface
1302,insertion regions,4236,insertion regions
1303,Cleavage Site (forms Pyruvoyl cofactor),4235,cleavage site (forms pyruvoyl cofactor)
1304,Cleavage Site (forms carboxy terminus),4235,cleavage site (forms carboxy terminus)
1305,PCNA/WAF1-CIP1 protein binding site,4231,pcna/waf1 cip1 protein binding site
1306,Subunit I/VIIIb interface,4183,subunit i/viiib interface
1307,SITE: Involved in acyl-ACP binding.,4177,site: involved in acyl acp binding
1308,5' ssDNA interaction site,4171,5' ssdna interaction site
1309,motif B,4129,motif b
1310,METAL: Zinc 3.,4120,metal: zinc 3
1311,Active site serine,4111,active site serine
1312,Possible general acid/Base,4108,possible general acid/base
1313,"MOD_RES: 2',4',5'-topaquinone.",4095,"mod_res: 2',4',5' topaquinone"
1314,pelota interface,4087,pelota interface
1315,Positions Lys,4065,positions lys
1316,"Mg2+ ligand, general acid (donates proton to leaving group), general base (activates water)",4065,"mg2+ ligand, general acid (donates proton to leaving group), general base (activates water)"
1317,METAL: Calcium 1; via amide nitrogen.,4009,metal: calcium 1; via amide nitrogen
1318,domain_subunit interface,3978,domain_subunit interface
1319,Low-spin heme (heme a) binding site,3939,low spin heme (heme a) binding site
1320,inter-subunit interface,3929,inter subunit interface
1321,purine riboside binding site,3925,purine riboside binding site
1322,Subunit I/IV interface,3912,subunit i/iv interface
1323,glutathione binding site,3901,glutathione binding site
1324,DISULFID: Interchain.,3892,disulfid: interchain
1325,METAL: Copper B.,3784,metal: copper b
1326,homodimer contacts,3773,homodimer contacts
1327,Zn binding sites,3764,zn binding sites
1328,heme binding pocket,3727,heme binding pocket
1329,MOD_RES: Pyruvic acid (Cys).,3707,mod_res: pyruvic acid (cys)
1330,Binuclear center (active site),3695,binuclear center (active site)
1331,putative Mg binding site IVa,3689,mg binding site iva
1332,putative substrate-binding site,3656,substrate binding site
1333,mismatch base recognition site,3651,mismatch base recognition site
1334,Subunit I/VIIc interface,3649,subunit i/viic interface
1335,METAL: Copper A.,3642,metal: copper a
1336,putative Fe-S cluster binding site,3635,fe s cluster binding site
1337,stabilizes COOH of intermediate,3609,stabilizes cooh of intermediate
1338,hydrolysis of ester intermediate,3609,hydrolysis of ester intermediate
1339,nucleophile: attacks C2 of substrate to form covalent intermediate,3609,nucleophile: attacks c2 of substrate to form covalent intermediate
1340,flap region,3582,flap region
1341,copper binding site,3550,copper binding site
1342,general acid,3507,general acid
1343,putative heme binding site,3503,heme binding site
1344,domain interactions,3482,domain interactions
1345,E1 interaction site,3476,e1 interaction site
1346,homohexamer (dimer of homotrimers) interface,3448,homohexamer (dimer of homotrimers) interface
1347,H+/Cl- coupling transport residue,3413,h+/cl coupling transport residue
1348,LIPID: Phosphatidylethanolamine amidated glycine.,3398,lipid: phosphatidylethanolamine amidated glycine
1349,HAD signature motif II,3386,had signature motif ii
1350,putative adhesion site,3380,adhesion site
1351,heme-binding site,3376,heme binding site
1352,heterodimerization interface,3374,heterodimerization interface
1353,putative xylulose binding site,3330,xylulose binding site
1354,SITE: Important for channel permeability.,3329,site: important for channel permeability
1355,allosteric regulatory binding pocket,3326,allosteric regulatory binding pocket
1356,CROSSLNK: Isoglutamyl cysteine thioester (Cys-Gln).,3319,crosslnk: isoglutamyl cysteine thioester (cys gln)
1357,phospholipid binding pocket,3310,phospholipid binding pocket
1358,histone H3 binding site,3309,histone h3 binding site
1359,EF1 beta interface,3301,ef1 beta interface
1360,putative Mg binding site IVb,3256,mg binding site ivb
1361,subunit interactions,3220,subunit interactions
1362,cardiolipin binding site,3217,cardiolipin binding site
1363,phosphate binding residues,3201,phosphate binding residues
1364,SITE: Primary proton acceptor.,3157,site: primary proton acceptor
1365,SITE: Responsible for spectral tuning.,3157,site: responsible for spectral tuning
1366,SITE: Primary proton donor.,3157,site: primary proton donor
1367,Low-spin heme binding site,3131,low spin heme binding site
1368,SdhC subunit interface,3127,sdhc subunit interface
1369,METAL: Zinc 1; via carbamate group; catalytic.,3121,metal: zinc 1; via carbamate group; catalytic
1370,METAL: Zinc 2; via carbamate group; catalytic.,3121,metal: zinc 2; via carbamate group; catalytic
1371,Oligomer interface,3085,oligomer interface
1372,dimer interface (closed form),3057,dimer interface (closed form)
1373,putative [4Fe-4S] binding site,3053,[4fe 4s] binding site
1374,METAL: Calcium 1; catalytic.,3043,metal: calcium 1; catalytic
1375,Subunit I/Vb interface,3039,subunit i/vb interface
1376,peptidase domain interface,3038,peptidase domain interface
1377,protein synthesis regulator,3011,protein synthesis regulator
1378,ACT_SITE: For DNase activity of RuvC domain.,3006,act_site: for dnase activity of ruvc domain
1379,putative binding site residues,3005,binding site residues
1380,dodecaamer interface,3002,dodecaamer interface
1381,substrate specificity residue,2990,substrate specificity residue
1382,putative binding site,2983,binding site
1383,siderophore binding site,2965,siderophore binding site
1384,active site triad,2956,active site triad
1385,putative ligand binding residues,2953,ligand binding residues
1386,Orients Asp nucleophile,2941,orients asp nucleophile
1387,stabilizes intermediate,2920,stabilizes intermediate
1388,malonyl-CoA binding site,2886,malonyl coa binding site
1389,EF1alpha interface,2878,ef1alpha interface
1390,putative feedback inhibition sensing region,2877,feedback inhibition sensing region
1391,NADPH binding site,2861,nadph binding site
1392,acetyllysine binding site,2852,acetyllysine binding site
1393,kinase interaction site,2839,kinase interaction site
1394,putative integrin binding motif,2837,integrin binding motif
1395,ACT_SITE: For DNA cleavage activity.,2834,act_site: for dna cleavage activity
1396,GTPase interaction site,2798,gtpase interaction site
1397,Binds lysine substrate,2783,binds lysine substrate
1398,oxalacetate binding site,2748,oxalacetate binding site
1399,ATP binding,2748,atp binding
1400,METAL: Iron-sulfur 3 (3Fe-4S).,2741,metal: iron sulfur 3 (3fe 4s)
1401,METAL: Iron-sulfur 2 (4Fe-4S); via pros nitrogen.,2741,metal: iron sulfur 2 (4fe 4s); via pros nitrogen
1402,Mg2+-binding site,2730,mg2+ binding site
1403,G bulge,2711,g bulge
1404,SxDxEG motif,2702,sxdxeg motif
1405,key conserved lysine K48,2694,key conserved lysine k48
1406,METAL: Magnesium; via tele nitrogen.,2692,metal: magnesium; via tele nitrogen
1407,BINDING: Heme 3 (covalent).,2684,binding: heme 3 (covalent)
1408,BINDING: Glutathione.,2682,binding: glutathione
1409,REGION: Glutathione binding.,2682,region: glutathione binding
1410,EF1Balpha binding site,2677,ef1balpha binding site
1411,Heme binding  pocket,2651,heme binding pocket
1412,Binds Mg(II) ion,2648,binds mg(ii) ion
1413,iron coordination sites,2638,iron coordination sites
1414,EGF-like motif,2567,egf like motif
1415,calcium binding site 3,2563,calcium binding site 3
1416,BINDING: Glutathione; via amide nitrogen and carbonyl oxygen.,2510,binding: glutathione; via amide nitrogen and carbonyl oxygen
1417,MOD_RES: Pyrrolidone carboxylic acid.,2494,mod_res: pyrrolidone carboxylic acid
1418,General acid/base,2442,general acid/base
1419,Activates metal binding Thr,2441,activates metal binding thr
1420,oligomer interface 2,2407,oligomer interface 2
1421,METAL: Divalent metal cation 2; via carbamate group.,2385,metal: divalent metal cation 2; via carbamate group
1422,METAL: Divalent metal cation 1; via carbamate group.,2385,metal: divalent metal cation 1; via carbamate group
1423,putative pore gating glutamate residue,2377,pore gating glutamate residue
